Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On Track Toward 2020 Goal (0.82, 2018)",SIR_2015,Notes
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA,666781,3747,4103.58,0.91,0.88,0.94,Better,No,0.98,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,510,3,3.47,0.87,0.22,2.35,Same,No,0.62,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Appendix surgery,30277,93,115.76,0.80,0.65,0.98,Better,Yes,1.07,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",8285,260,228.84,1.14,1.00,1.28,Worse,No,0.98,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,13810,43,52.23,0.82,0.60,1.10,Same,No,0.97,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,"STATE OF CALIFORNIA POOLED DATA - Coronary bypass,chest and donor incisions",13621,89,99.35,0.90,0.72,1.10,Same,No,1.35,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,"STATE OF CALIFORNIA POOLED DATA - Coronary bypass,chest incision only",1850,8,11.97,0.67,0.31,1.27,Same,Yes,0.98,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,50111,173,181.85,0.95,0.82,1.10,Same,No,0.90,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Colon surgery,29001,697,724.23,0.96,0.89,1.04,Same,No,0.95,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Cesarean section,126507,184,203.04,0.91,0.78,1.05,Same,No,1.07,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Spinal fusion,40145,265,302.82,0.88,0.77,0.99,Better,No,0.88,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,36724,265,263.71,1.01,0.89,1.13,Same,No,1.11,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Gastric surgery,20679,96,137.34,0.70,0.57,0.85,Better,Yes,1.01,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,47529,295,288.55,1.02,0.91,1.14,Same,No,0.99,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Heart transplant,382,5,4.90,1.02,0.37,2.26,Same,No,0.98,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,"STATE OF CALIFORNIA POOLED DATA - Hysterectomy,abdominal",21397,136,153.62,0.89,0.75,1.04,Same,No,0.33,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,59792,194,222.33,0.87,0.76,1.00,Same,No,1.03,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Kidney transplant,2327,10,14.40,0.70,0.35,1.24,Same,Yes,0.89,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Laminectomy,18800,63,64.45,0.98,0.76,1.24,Same,No,0.79,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Liver transplant,803,20,38.93,0.51,0.32,0.78,Better,Yes,0.97,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Kidney surgery,7789,18,25.70,0.70,0.43,1.09,Same,Yes,0.67,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Ovarian surgery,19302,16,13.77,1.16,0.69,1.85,Same,No,0.97,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,20690,49,36.45,1.34,1.01,1.76,Worse,No,0.95,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Rectal surgery,5350,40,90.64,0.44,0.32,0.60,Better,Yes,0.87,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,24079,372,490.76,0.76,0.68,0.84,Better,Yes,1.12,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Spleen surgery,1811,11,11.02,1.00,0.53,1.74,Same,No,1.03,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,18849,53,65.29,0.81,0.61,1.05,Same,Yes,0.87,
2018,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,,,,,"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",7212,29,37.35,0.78,0.53,1.10,Same,Yes,0.75,
